loan_id,account_id,date_loan.csv,amount,duration,payments,status,district_id,frequency,date_account.csv,order.csv_order_id,order.csv_bank_to,order.csv_account_to,order.csv_amount,order.csv_k_symbol,disp.csv_disp_id,disp.csv_client_id,disp.csv_type,trans.csv_trans_id,trans.csv_date,trans.csv_type,trans.csv_operation,trans.csv_amount,trans.csv_balance,trans.csv_k_symbol,trans.csv_bank,trans.csv_account
5088,544,1996-08-22,91152,24,3798.0,A,32,POPLATEK MESICNE,1995-05-15,1.0,1.0,1.0,1.0,1.0,1,1,1,254,254,254,211,254,254,105,67,254
5103,666,1997-11-28,12540,12,1045.0,A,27,POPLATEK MESICNE,1996-03-15,4.0,4.0,4.0,4.0,3.0,2,2,2,276,276,276,243,276,276,157,96,276
5110,675,1997-04-01,102240,60,1704.0,C,58,POPLATEK MESICNE,1995-08-03,2.0,2.0,2.0,2.0,2.0,2,2,2,263,263,263,222,263,263,134,57,263
5117,718,1997-08-20,76944,12,6412.0,A,1,POPLATEK MESICNE,1996-03-03,4.0,4.0,4.0,4.0,3.0,1,1,1,281,281,281,250,281,281,149,92,281
5124,785,1998-02-12,156096,36,4336.0,C,21,POPLATEK TYDNE,1997-08-09,2.0,2.0,2.0,2.0,2.0,1,1,1,108,108,108,91,108,108,52,40,108
5125,789,1995-11-23,73056,48,1522.0,C,39,POPLATEK MESICNE,1995-02-06,3.0,3.0,3.0,3.0,2.0,2,2,2,294,294,294,247,294,294,210,121,294
5126,790,1994-07-24,208128,48,4336.0,B,54,POPLATEK MESICNE,1993-05-11,1.0,1.0,1.0,1.0,1.0,1,1,1,406,406,406,339,406,406,169,41,406
5128,808,1996-04-11,215616,48,4492.0,D,69,POPLATEK MESICNE,1995-06-13,1.0,1.0,1.0,1.0,1.0,1,1,1,286,286,286,202,286,286,199,30,286
5130,813,1994-05-11,24312,12,2026.0,A,16,POPLATEK MESICNE,1993-02-10,1.0,1.0,1.0,1.0,1.0,1,1,1,392,392,392,321,392,392,149,83,392
5131,816,1995-01-08,48624,24,2026.0,A,52,POPLATEK MESICNE,1993-08-05,2.0,2.0,2.0,2.0,2.0,1,1,1,493,493,493,428,493,493,207,83,493
5132,817,1995-02-17,538500,60,8975.0,C,5,POPLATEK MESICNE,1994-03-18,2.0,2.0,2.0,2.0,2.0,1,1,1,361,361,361,304,361,361,208,99,361
5134,825,1997-02-02,53076,12,4423.0,A,19,POPLATEK MESICNE,1996-03-06,2.0,2.0,2.0,2.0,2.0,1,1,1,218,218,218,184,218,218,104,41,218
5136,846,1996-07-28,187104,24,7796.0,A,72,POPLATEK MESICNE,1996-03-09,1.0,1.0,1.0,1.0,1.0,1,1,1,229,229,229,195,229,229,89,24,229
5138,854,1995-05-30,87216,48,1817.0,C,62,POPLATEK MESICNE,1993-09-21,4.0,4.0,4.0,4.0,3.0,1,1,1,511,511,511,448,511,511,340,219,511
5140,873,1998-02-24,178500,60,2975.0,C,73,POPLATEK MESICNE,1997-04-26,4.0,4.0,4.0,4.0,3.0,1,1,1,150,150,150,130,150,150,91,56,150
5145,915,1995-09-16,309552,48,6449.0,C,72,POPLATEK MESICNE,1995-01-18,2.0,2.0,2.0,2.0,2.0,1,1,1,330,330,330,283,330,330,171,129,330
5147,938,1998-05-21,22260,60,371.0,C,70,POPLATEK MESICNE,1997-12-13,2.0,2.0,2.0,2.0,2.0,1,1,1,63,63,63,51,63,63,33,14,63
5148,940,1996-05-29,284280,60,4738.0,C,37,POPLATEK MESICNE,1994-11-15,1.0,1.0,1.0,1.0,1.0,2,2,2,297,297,297,248,297,297,124,80,297
5151,960,1995-05-24,189060,60,3151.0,C,4,POPLATEK PO OBRATU,1994-11-02,2.0,2.0,2.0,2.0,2.0,1,1,1,369,369,369,319,369,369,184,139,369
5154,993,1998-07-01,108720,60,1812.0,C,6,POPLATEK MESICNE,1996-11-14,1.0,1.0,1.0,1.0,1.0,1,1,1,105,105,105,80,105,105,41,6,105
5158,1004,1998-04-11,188532,36,5237.0,C,70,POPLATEK MESICNE,1996-07-02,1.0,1.0,1.0,1.0,1.0,1,1,1,210,210,210,182,210,210,61,9,210
5160,1011,1995-12-18,204000,60,3400.0,C,45,POPLATEK MESICNE,1994-12-17,2.0,2.0,2.0,2.0,2.0,1,1,1,323,323,323,275,323,323,171,128,323
5161,1012,1994-10-28,98184,24,4091.0,A,65,POPLATEK MESICNE,1994-07-09,1.0,1.0,1.0,1.0,1.0,1,1,1,412,412,412,304,412,412,180,75,412
5169,1068,1998-09-24,253200,60,4220.0,C,52,POPLATEK MESICNE,1997-02-15,4.0,4.0,4.0,4.0,3.0,1,1,1,158,158,158,136,158,158,96,57,158
5170,1071,1994-01-20,253200,60,4220.0,C,68,POPLATEK TYDNE,1993-05-10,1.0,1.0,1.0,1.0,1.0,1,1,1,393,393,393,325,393,393,191,59,393
5172,1083,1998-04-16,50976,36,1416.0,C,45,POPLATEK MESICNE,1996-12-06,4.0,4.0,4.0,4.0,3.0,1,1,1,192,192,192,167,192,192,115,70,192
5174,1093,1997-06-13,385104,48,8023.0,C,54,POPLATEK MESICNE,1996-01-14,2.0,2.0,2.0,2.0,2.0,1,1,1,243,243,243,208,243,243,114,84,243
5176,1106,1994-11-12,192552,24,8023.0,B,20,POPLATEK TYDNE,1993-08-29,1.0,1.0,1.0,1.0,1.0,1,1,1,379,379,379,317,379,379,149,20,379
5189,1166,1994-02-07,149040,48,3105.0,A,11,POPLATEK MESICNE,1993-04-21,2.0,2.0,2.0,2.0,2.0,1,1,1,447,447,447,379,447,447,243,180,447
5206,1242,1997-09-07,128544,24,5356.0,C,74,POPLATEK PO OBRATU,1996-11-24,5.0,5.0,5.0,5.0,3.0,1,1,1,230,230,230,204,230,230,147,100,230
5207,1244,1997-02-28,35904,48,748.0,C,68,POPLATEK MESICNE,1996-05-08,5.0,5.0,5.0,5.0,3.0,1,1,1,254,254,254,223,254,254,185,128,254
5208,1247,1995-03-16,99696,48,2077.0,D,25,POPLATEK MESICNE,1993-06-08,1.0,1.0,1.0,1.0,1.0,1,1,1,429,429,429,369,429,429,160,42,429
5209,1250,1996-11-25,182640,48,3805.0,C,62,POPLATEK MESICNE,1996-03-28,3.0,3.0,3.0,3.0,2.0,1,1,1,221,221,221,188,221,221,143,115,221
5210,1252,1997-04-01,148140,36,4115.0,C,13,POPLATEK TYDNE,1995-07-26,1.0,1.0,1.0,1.0,1.0,1,1,1,240,240,240,199,240,240,98,62,240
5212,1256,1995-05-29,71064,36,1974.0,A,38,POPLATEK MESICNE,1994-04-21,3.0,3.0,3.0,3.0,2.0,1,1,1,409,409,409,353,409,409,247,140,409
5214,1270,1997-07-01,74772,36,2077.0,C,55,POPLATEK PO OBRATU,1996-06-07,2.0,2.0,2.0,2.0,2.0,1,1,1,186,186,186,155,186,186,101,75,186
5221,1284,1998-12-05,52512,12,4376.0,C,55,POPLATEK MESICNE,1997-07-02,1.0,1.0,1.0,1.0,1.0,1,1,1,91,91,91,77,91,91,26,1,91
5226,1318,1998-10-11,185544,36,5154.0,C,56,POPLATEK MESICNE,1997-12-22,5.0,5.0,5.0,5.0,3.0,1,1,1,57,57,57,47,57,57,32,18,57
5229,1329,1997-09-06,23520,12,1960.0,A,53,POPLATEK MESICNE,1996-09-16,3.0,3.0,3.0,3.0,2.0,2,2,2,175,175,175,148,175,175,107,85,175
5236,1374,1997-09-15,389136,48,8107.0,C,53,POPLATEK MESICNE,1996-09-26,1.0,1.0,1.0,1.0,1.0,1,1,1,166,166,166,139,166,166,64,42,166
5237,1375,1995-08-29,45336,24,1889.0,A,19,POPLATEK MESICNE,1994-04-27,2.0,2.0,2.0,2.0,2.0,1,1,1,358,358,358,302,358,358,183,76,358
5241,1389,1998-09-02,125472,24,5228.0,C,34,POPLATEK MESICNE,1997-08-05,2.0,2.0,2.0,2.0,2.0,1,1,1,126,126,126,109,126,126,51,19,126
5245,1407,1998-01-17,125472,24,5228.0,C,19,POPLATEK PO OBRATU,1997-04-11,2.0,2.0,2.0,2.0,2.0,2,2,2,182,182,182,161,182,182,70,30,182
5253,1447,1997-06-03,100080,48,2085.0,C,65,POPLATEK MESICNE,1997-02-20,2.0,2.0,2.0,2.0,2.0,1,1,1,127,127,127,105,127,127,75,58,127
5260,1480,1998-01-19,123300,36,3425.0,C,41,POPLATEK TYDNE,1996-07-03,1.0,1.0,1.0,1.0,1.0,1,1,1,162,162,162,136,162,162,58,11,162
5265,1498,1998-10-07,165780,60,2763.0,C,62,POPLATEK TYDNE,1997-02-07,1.0,1.0,1.0,1.0,1.0,1,1,1,132,132,132,90,132,132,57,2,132
5269,1527,1994-11-19,164052,36,4557.0,B,31,POPLATEK PO OBRATU,1993-11-17,1.0,1.0,1.0,1.0,1.0,1,1,1,389,389,389,327,389,389,158,32,389
5270,1528,1997-07-21,191088,48,3981.0,C,50,POPLATEK MESICNE,1996-06-08,1.0,1.0,1.0,1.0,1.0,1,1,1,193,193,193,162,193,193,100,17,193
5281,1580,1997-11-27,194256,24,8094.0,C,69,POPLATEK MESICNE,1996-01-08,1.0,1.0,1.0,1.0,1.0,1,1,1,208,208,208,173,208,208,79,13,208
5282,1583,1996-08-24,388512,48,8094.0,D,69,POPLATEK PO OBRATU,1994-11-17,1.0,1.0,1.0,1.0,1.0,1,1,1,339,339,339,289,339,339,128,24,339
5285,1603,1994-02-06,78936,12,6578.0,A,1,POPLATEK MESICNE,1993-05-09,3.0,3.0,3.0,3.0,2.0,1,1,1,499,499,499,431,499,499,269,138,499
5287,1638,1998-01-26,64224,24,2676.0,C,6,POPLATEK TYDNE,1996-11-12,2.0,2.0,2.0,2.0,2.0,2,2,2,110,110,110,84,110,110,67,26,110
5293,1656,1998-10-29,189792,48,3954.0,C,47,POPLATEK MESICNE,1997-02-01,2.0,2.0,2.0,2.0,2.0,1,1,1,144,144,144,121,144,144,61,43,144
5301,1698,1996-07-06,141948,36,3943.0,C,68,POPLATEK MESICNE,1996-03-14,2.0,2.0,2.0,2.0,2.0,1,1,1,213,213,213,180,213,213,119,58,213
5304,1718,1998-08-20,172272,24,7178.0,C,71,POPLATEK MESICNE,1997-09-23,2.0,2.0,2.0,2.0,2.0,1,1,1,83,83,83,68,83,83,39,29,83
5310,1762,1995-04-28,248148,36,6893.0,A,28,POPLATEK MESICNE,1993-12-11,4.0,4.0,4.0,4.0,3.0,1,1,1,490,490,490,430,490,490,316,201,490
5311,1766,1996-06-15,30060,60,501.0,C,28,POPLATEK MESICNE,1994-09-03,5.0,5.0,5.0,5.0,3.0,1,1,1,483,483,483,431,483,483,317,218,483
5312,1772,1996-03-13,202788,36,5633.0,C,31,POPLATEK TYDNE,1995-02-20,2.0,2.0,2.0,2.0,2.0,1,1,1,330,330,330,284,330,330,162,121,330
5313,1776,1998-05-27,43200,24,1800.0,C,36,POPLATEK MESICNE,1997-07-27,2.0,2.0,2.0,2.0,2.0,1,1,1,103,103,103,86,103,103,48,19,103
5314,1787,1993-07-05,96396,12,8033.0,B,30,POPLATEK TYDNE,1993-03-22,1.0,1.0,1.0,1.0,1.0,1,1,1,403,403,403,339,403,403,180,4,403
5316,1801,1993-07-11,165960,36,4610.0,A,46,POPLATEK MESICNE,1993-02-13,4.0,4.0,4.0,4.0,3.0,1,1,1,633,633,633,562,633,633,379,240,633
5318,1808,1998-09-30,385584,48,8033.0,C,28,POPLATEK MESICNE,1997-05-16,1.0,1.0,1.0,1.0,1.0,2,2,2,101,101,101,85,101,101,30,3,101
5319,1811,1994-06-23,239460,60,3991.0,C,40,POPLATEK MESICNE,1993-09-22,3.0,3.0,3.0,3.0,2.0,1,1,1,470,470,470,407,470,470,291,233,470
5320,1819,1998-01-11,143676,36,3991.0,C,55,POPLATEK TYDNE,1996-10-21,4.0,4.0,4.0,4.0,3.0,1,1,1,184,184,184,158,184,184,111,67,184
5325,1843,1993-08-03,105804,36,2939.0,A,12,POPLATEK MESICNE,1993-01-30,2.0,2.0,2.0,2.0,2.0,1,1,1,462,462,462,392,462,462,239,174,462
5329,1862,1996-10-16,396120,60,6602.0,C,19,POPLATEK TYDNE,1995-04-15,1.0,1.0,1.0,1.0,1.0,1,1,1,275,275,275,231,275,275,109,70,275
5332,1869,1998-01-29,37944,36,1054.0,C,1,POPLATEK MESICNE,1996-06-14,1.0,1.0,1.0,1.0,1.0,1,1,1,169,169,169,139,169,169,66,11,169
5334,1876,1998-09-10,209040,24,8710.0,C,1,POPLATEK MESICNE,1997-09-20,3.0,3.0,3.0,3.0,2.0,1,1,1,92,92,92,77,92,92,50,25,92
5337,1886,1996-07-31,162468,36,4513.0,C,32,POPLATEK MESICNE,1996-03-05,2.0,2.0,2.0,2.0,2.0,2,2,2,209,209,209,175,209,209,121,92,209
5338,1888,1997-08-30,57360,12,4780.0,B,6,POPLATEK MESICNE,1996-10-21,4.0,4.0,4.0,4.0,3.0,1,1,1,249,249,249,197,249,249,159,103,249
5343,1906,1997-10-08,44952,24,1873.0,C,1,POPLATEK MESICNE,1996-08-01,3.0,3.0,3.0,3.0,2.0,1,1,1,216,216,216,187,216,216,115,63,216
5346,1928,1998-12-06,55632,24,2318.0,C,70,POPLATEK MESICNE,1997-03-02,1.0,1.0,1.0,1.0,1.0,1,1,1,119,119,119,97,119,119,40,23,119
5350,1967,1996-04-21,249312,48,5194.0,C,26,POPLATEK TYDNE,1995-02-13,2.0,2.0,2.0,2.0,2.0,1,1,1,302,302,302,256,302,302,151,67,302
5351,1978,1994-12-04,205200,36,5700.0,A,57,POPLATEK TYDNE,1993-06-11,4.0,4.0,4.0,4.0,3.0,1,1,1,564,564,564,498,564,564,349,288,564
5352,1993,1995-04-15,68400,12,5700.0,B,68,POPLATEK MESICNE,1994-10-30,1.0,1.0,1.0,1.0,1.0,1,1,1,243,243,243,193,243,243,106,11,243
5354,2000,1998-07-14,290820,60,4847.0,C,5,POPLATEK MESICNE,1997-08-06,4.0,4.0,4.0,4.0,3.0,1,1,1,128,128,128,111,128,128,72,43,128
5358,2018,1997-01-21,38520,12,3210.0,A,42,POPLATEK MESICNE,1995-06-04,2.0,2.0,2.0,2.0,2.0,1,1,1,244,244,244,201,244,244,132,51,244
5360,2035,1998-01-25,176328,36,4898.0,C,53,POPLATEK MESICNE,1996-05-10,5.0,5.0,5.0,5.0,3.0,2,2,2,282,282,282,251,282,282,176,150,282
5363,2051,1997-04-22,293880,60,4898.0,D,64,POPLATEK TYDNE,1995-11-08,1.0,1.0,1.0,1.0,1.0,1,1,1,224,224,224,190,224,224,84,16,224
5365,2055,1998-07-19,271260,60,4521.0,C,37,POPLATEK MESICNE,1997-04-17,2.0,2.0,2.0,2.0,2.0,1,1,1,99,99,99,79,99,99,55,20,99
5366,2062,1996-10-29,86184,12,7182.0,A,70,POPLATEK MESICNE,1996-03-06,3.0,3.0,3.0,3.0,2.0,1,1,1,269,269,269,235,269,269,133,104,269
5367,2064,1997-08-26,83628,36,2323.0,C,54,POPLATEK MESICNE,1996-12-30,1.0,1.0,1.0,1.0,1.0,1,1,1,128,128,128,104,128,128,59,40,128
5368,2073,1998-10-05,44640,24,1860.0,C,59,POPLATEK MESICNE,1997-08-14,1.0,1.0,1.0,1.0,1.0,1,1,1,83,83,83,67,83,83,30,3,83
5369,2080,1997-09-12,214596,36,5961.0,C,74,POPLATEK MESICNE,1997-04-27,2.0,2.0,2.0,2.0,2.0,2,2,2,128,128,128,108,128,128,67,52,128
5375,2106,1996-10-03,101520,12,8460.0,A,1,POPLATEK MESICNE,1996-02-01,2.0,2.0,2.0,2.0,2.0,1,1,1,185,185,185,150,185,185,108,43,185
5377,2116,1997-08-04,92400,12,7700.0,A,70,POPLATEK MESICNE,1996-05-02,3.0,3.0,3.0,3.0,2.0,1,1,1,224,224,224,192,224,224,128,68,224
5382,2134,1997-03-17,22932,36,637.0,C,52,POPLATEK MESICNE,1996-08-06,3.0,3.0,3.0,3.0,2.0,1,1,1,204,204,204,175,204,204,124,71,204
5384,2142,1998-03-07,23328,12,1944.0,C,42,POPLATEK MESICNE,1997-09-01,2.0,2.0,2.0,2.0,2.0,2,2,2,91,91,91,75,91,91,48,21,91
5385,2143,1996-09-09,71460,36,1985.0,C,1,POPLATEK MESICNE,1996-01-13,2.0,2.0,2.0,2.0,2.0,2,2,2,228,228,228,193,228,228,124,59,228
5388,2153,1996-11-28,61560,12,5130.0,A,31,POPLATEK TYDNE,1996-01-07,4.0,4.0,4.0,4.0,3.0,1,1,1,274,274,274,238,274,274,174,143,274
5389,2165,1997-08-22,78600,24,3275.0,C,51,POPLATEK MESICNE,1997-04-08,2.0,2.0,2.0,2.0,2.0,1,1,1,124,124,124,103,124,124,69,53,124
5390,2167,1994-10-30,170256,24,7094.0,A,16,POPLATEK MESICNE,1993-08-08,2.0,2.0,2.0,2.0,2.0,1,1,1,412,412,412,348,412,412,207,84,412
5395,2176,1994-07-30,299088,36,8308.0,B,67,POPLATEK MESICNE,1993-06-06,3.0,3.0,3.0,3.0,2.0,1,1,1,471,471,471,407,471,471,286,148,471
5398,2187,1997-11-04,53472,12,4456.0,A,9,POPLATEK TYDNE,1996-02-26,1.0,1.0,1.0,1.0,1.0,2,2,2,222,222,222,188,222,222,77,12,222
5409,2218,1995-11-18,182040,60,3034.0,C,19,POPLATEK MESICNE,1994-11-21,1.0,1.0,1.0,1.0,1.0,2,2,2,306,306,306,257,306,306,130,86,306
5413,2227,1995-12-12,92976,24,3874.0,A,31,POPLATEK TYDNE,1994-05-22,2.0,2.0,2.0,2.0,2.0,2,2,2,420,420,420,367,420,420,171,71,420
5414,2228,1995-03-29,185952,48,3874.0,C,34,POPLATEK MESICNE,1994-03-19,2.0,2.0,2.0,2.0,2.0,1,1,1,356,356,356,300,356,356,192,91,356
5415,2236,1996-09-26,139464,36,3874.0,D,73,POPLATEK MESICNE,1995-08-27,1.0,1.0,1.0,1.0,1.0,1,1,1,171,171,171,133,171,171,109,18,171
5418,2245,1995-01-16,347952,48,7249.0,C,29,POPLATEK MESICNE,1993-03-30,1.0,1.0,1.0,1.0,1.0,1,1,1,408,408,408,341,408,408,175,47,408
5419,2246,1997-02-05,415800,60,6930.0,C,1,POPLATEK MESICNE,1996-04-25,1.0,1.0,1.0,1.0,1.0,1,1,1,189,189,189,158,189,189,81,23,189
5420,2247,1997-02-24,72504,24,3021.0,C,24,POPLATEK MESICNE,1996-04-13,5.0,5.0,5.0,5.0,3.0,1,1,1,300,300,300,267,300,300,210,146,300
5428,2262,1998-12-02,230220,36,6395.0,C,13,POPLATEK MESICNE,1997-02-08,1.0,1.0,1.0,1.0,1.0,1,1,1,162,162,162,139,162,162,44,1,162
5429,2268,1996-07-18,20196,36,561.0,C,1,POPLATEK MESICNE,1995-02-11,2.0,2.0,2.0,2.0,2.0,1,1,1,286,286,286,240,286,286,158,71,286
5435,2279,1998-06-01,314688,48,6556.0,C,2,POPLATEK TYDNE,1996-10-30,1.0,1.0,1.0,1.0,1.0,1,1,1,147,147,147,121,147,147,54,33,147
5445,2322,1996-06-29,46320,24,1930.0,A,33,POPLATEK MESICNE,1995-01-02,5.0,5.0,5.0,5.0,3.0,1,1,1,460,460,460,412,460,460,298,204,460
5446,2334,1997-08-04,48312,24,2013.0,C,50,POPLATEK MESICNE,1996-03-19,2.0,2.0,2.0,2.0,2.0,1,1,1,214,214,214,181,214,214,107,79,214
5447,2335,1997-11-12,541200,60,9020.0,D,70,POPLATEK MESICNE,1996-04-04,5.0,5.0,5.0,5.0,3.0,1,1,1,329,329,329,267,329,329,252,124,329
5449,2343,1995-11-04,99336,24,4139.0,A,68,POPLATEK MESICNE,1994-12-09,2.0,2.0,2.0,2.0,2.0,1,1,1,303,303,303,255,303,303,159,68,303
5450,2345,1994-12-11,199680,60,3328.0,C,5,POPLATEK MESICNE,1993-10-25,2.0,2.0,2.0,2.0,2.0,1,1,1,400,400,400,338,400,400,226,169,400
5451,2350,1997-05-11,159744,48,3328.0,C,18,POPLATEK MESICNE,1996-08-04,3.0,3.0,3.0,3.0,2.0,1,1,1,199,199,199,174,199,199,108,62,199
5452,2352,1996-04-29,49440,60,824.0,C,70,POPLATEK MESICNE,1995-01-21,4.0,4.0,4.0,4.0,3.0,1,1,1,400,400,400,353,400,400,249,160,400
5453,2361,1995-04-01,156672,36,4352.0,A,28,POPLATEK MESICNE,1994-02-25,2.0,2.0,2.0,2.0,2.0,1,1,1,367,367,367,309,367,367,200,89,367
5463,2413,1998-10-06,17952,12,1496.0,C,33,POPLATEK MESICNE,1997-10-27,2.0,2.0,2.0,2.0,2.0,1,1,1,76,76,76,62,76,76,36,13,76
5464,2419,1995-01-30,95808,12,7984.0,A,24,POPLATEK MESICNE,1993-11-27,1.0,1.0,1.0,1.0,1.0,1,1,1,420,420,420,359,420,420,130,12,420
5469,2445,1997-12-26,293160,60,4886.0,C,52,POPLATEK MESICNE,1996-07-07,1.0,1.0,1.0,1.0,1.0,1,1,1,189,189,189,160,189,189,67,12,189
5470,2456,1996-04-15,200976,48,4187.0,C,65,POPLATEK MESICNE,1995-09-09,2.0,2.0,2.0,2.0,2.0,1,1,1,265,265,265,225,265,265,142,107,265
5479,2486,1994-01-10,24516,12,2043.0,A,1,POPLATEK MESICNE,1993-02-27,1.0,1.0,1.0,1.0,1.0,1,1,1,534,534,534,464,534,534,149,12,534
5482,2496,1996-01-12,165120,60,2752.0,C,51,POPLATEK MESICNE,1994-05-21,2.0,2.0,2.0,2.0,2.0,2,2,2,317,317,317,262,317,317,192,87,317
5486,2516,1997-06-13,466608,48,9721.0,C,6,POPLATEK MESICNE,1995-11-16,1.0,1.0,1.0,1.0,1.0,1,1,1,212,212,212,175,212,212,87,18,212
