index,ACCOUNT.CSV_account_id,ACCOUNT.CSV_district_id,ACCOUNT.CSV_frequency,ACCOUNT.CSV_date,CARD.CSV_card_id,CARD.CSV_disp_id,CARD.CSV_type,CARD.CSV_issued,CLINET.CSV_client_id,CLINET.CSV_gender,CLINET.CSV_birth_date,CLINET.CSV_district_id,DISP.CSV_disp_id,DISP.CSV_client_id,DISP.CSV_account_id,DISP.CSV_type,DISTRICT.CSV_district_id,DISTRICT.CSV_A2,DISTRICT.CSV_A3,DISTRICT.CSV_A4,DISTRICT.CSV_A5,DISTRICT.CSV_A6,DISTRICT.CSV_A7,DISTRICT.CSV_A8,DISTRICT.CSV_A9,DISTRICT.CSV_A10,DISTRICT.CSV_A11,DISTRICT.CSV_A12,DISTRICT.CSV_A13,DISTRICT.CSV_A14,DISTRICT.CSV_A15,DISTRICT.CSV_A16,LOAN.CSV_loan_id,LOAN.CSV_account_id,LOAN.CSV_date,LOAN.CSV_amount,LOAN.CSV_duration,LOAN.CSV_payments,LOAN.CSV_status,ORDER.CSV_order_id,ORDER.CSV_account_id,ORDER.CSV_bank_to,ORDER.CSV_account_to,ORDER.CSV_amount,ORDER.CSV_k_symbol,TRANS.CSV_trans_id,TRANS.CSV_account_id,TRANS.CSV_date,TRANS.CSV_type,TRANS.CSV_operation,TRANS.CSV_amount,TRANS.CSV_balance,TRANS.CSV_k_symbol,TRANS.CSV_bank,TRANS.CSV_account
LOAN.CSV_duration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOAN.CSV_payments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOAN.CSV_status,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORDER.CSV_order_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0
ORDER.CSV_account_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18147951037786056,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0
ORDER.CSV_bank_to,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0
ORDER.CSV_account_to,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0
ORDER.CSV_amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024932003626473255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0
ORDER.CSV_k_symbol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0
TRANS.CSV_trans_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.733414116934262e-06,0,0,0,0,0,0,0,0,,,,,,,,,,
TRANS.CSV_account_id,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0.0024444444444444444,0,0,0,0,0,0,0,0,0.15155555555555555,0,0,0,0,0,0,0.8351111111111111,0,0,0,0,,,,,,,,,,
TRANS.CSV_date,0,0,0,0.700593336376084,0,0,0,0.27704244637151987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2551346417161114,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
TRANS.CSV_type,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
TRANS.CSV_operation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
TRANS.CSV_amount,0,0.0021454444134856505,0,0,0,0,0,0,0,0,0,0.0021454444134856505,0,0,0,0,0.0021454444134856505,0,0,0,0.0014767344664251881,0.0010030649205906939,0.00047366954583449427,0.00016717748676511564,0.0003064920590693787,0,0,0,0,0.0012259682362775147,0,0,0,0,0,0,0.00013931457230426304,0,0,0,0,0,0,0,0,,,,,,,,,,
TRANS.CSV_balance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05827524720376074,0,0,0,0,0,,,,,,,,,,
TRANS.CSV_k_symbol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
TRANS.CSV_bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.363970323417128e-05,0,0,0,,,,,,,,,,
TRANS.CSV_account,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
